,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2017-10-20,29.2,29.83,28.33,27.85,411570.12,1.17,4.31,26.36,26.519000000000002,26.572,176454.41,141111.99,171445.99,10.3,29.662000000000013,29.861499999999985,25.655333333333328,29.548489236390456,29.35236136684757,26.948230325452883
2017-10-19,25.61,27.2,27.16,25.61,180490.47,1.47,5.72,25.964000000000002,26.465,26.5,105002.11,115721.45,159293.58,4.52,28.612000000000013,29.810999999999986,25.703999999999997,28.75232615759364,29.14353379930697,26.955563768495786
2017-10-18,25.63,26.41,25.69,25.5,109353.35,0.26,1.02,25.784000000000002,26.476999999999997,26.479,86081.84,120574.74,156028.36,2.74,27.804000000000013,29.672499999999985,25.737666666666662,27.731550771729093,28.81458128495802,26.9118187345879
2017-10-17,25.3,25.88,25.43,25.23,67649.41,0.24,0.95,25.908,26.734,26.541999999999998,89964.65,147619.06,159389.25,1.69,27.280000000000012,29.476999999999983,25.764833333333332,26.964367181152728,28.492200722993907,26.86068965386584
2017-10-16,26.4,26.48,25.19,25.03,113208.69,-1.16,-4.4,26.246,26.843000000000004,26.643,94279.29,157403.83,171053.0,2.83,26.360000000000014,29.323999999999984,25.78533333333333,26.37291145410182,28.17767055951082,26.803142549847458
2017-10-13,26.26,26.54,26.35,26.14,54308.65,0.09,0.34,26.678,26.815,26.738000000000003,105769.58,160060.88,178294.92,1.36,25.96400000000001,29.236999999999984,25.81266666666666,26.365274302734548,28.003589242163127,26.78755984054787
2017-10-12,26.28,26.51,26.26,25.92,85889.09,-0.05,-0.19,26.965999999999998,26.798000000000002,26.767,126440.79,176067.19,192651.51,2.15,25.78400000000001,29.13149999999998,25.84183333333333,26.3301828684897,27.837518058319898,26.76944706470871
2017-10-11,27.26,27.37,26.31,26.02,128767.41,-0.81,-2.99,27.17,26.945,26.733,155067.65,203712.91,202840.46,3.22,25.90800000000001,28.994999999999983,25.862499999999997,26.3234552456598,27.69202820654213,26.753697166100253
2017-10-10,27.12,27.49,27.12,26.75,89222.62,-0.23,-0.84,27.56,26.903000000000002,26.643,205273.46,200986.28,204488.73,2.23,26.24600000000001,28.90199999999998,25.93466666666666,26.5889701637732,27.637545283788125,26.76623534728919
2017-10-09,27.8,28.22,27.35,27.0,170660.12,-0.44,-1.58,27.44,26.765,26.484,220528.36,203051.72,206976.96,4.27,26.678000000000008,28.860499999999984,26.016833333333327,26.842646775848802,27.61015817857349,26.786188255492892
2017-09-29,27.49,27.88,27.79,27.04,157664.69,0.51,1.87,26.951999999999998,26.625,26.305,214352.17,201779.99,210644.2,3.95,26.966000000000008,28.842499999999983,26.10816666666666,27.1584311838992,27.62728701234146,26.820450531235597
2017-09-28,27.58,28.1,27.28,27.11,229023.39,-0.98,-3.47,26.63,26.535,26.166999999999998,225693.6,202865.7,211476.52,5.73,27.17000000000001,28.68399999999998,26.192166666666658,27.198954122599464,27.59421023956547,26.836114879980837
2017-09-27,26.52,29.01,28.26,26.52,379796.5,1.74,6.56,26.72,26.48,26.084,252358.18,191481.98,212995.67,9.51,27.56000000000001,28.40549999999998,26.294333333333324,27.552636081732974,27.65762194366052,26.884586893108487
2017-09-26,24.87,26.66,26.52,24.85,165497.09,1.61,6.46,26.246,26.349,25.879,196699.1,171159.43,203831.34,4.14,27.44000000000001,28.00949999999998,26.365833333333324,27.20842405448865,27.54927211845382,26.872191155506066
2017-09-25,25.78,26.16,24.91,24.67,139779.2,-1.27,-4.85,26.09,26.443,25.706,185575.07,184702.18,200104.09,3.5,26.95200000000001,27.651999999999976,26.422499999999992,26.442282702992433,27.297902629606984,26.805558616130142
2017-09-22,27.0,27.18,26.18,25.87,214371.81,-1.55,-5.59,26.298000000000002,26.660999999999998,25.635,189207.81,196528.96,199072.47,5.37,26.630000000000013,27.305499999999974,26.47566666666666,26.35485513532829,27.19143178849324,26.784340606119347
2017-09-21,26.03,28.48,27.73,25.7,362346.28,1.84,7.11,26.44,26.736,25.495,180037.81,209235.84,194833.73,9.07,26.72000000000001,27.071499999999975,26.55099999999999,26.813236756885527,27.242725709519835,26.81637969849189
2017-09-20,25.66,26.08,25.89,25.35,101501.12,0.15,0.58,26.24,26.52,25.239,130605.78,201968.02,183411.57,2.54,26.246000000000016,26.87949999999997,26.59366666666666,26.505491171257017,27.11389080268322,26.78502808125845
2017-09-19,25.95,26.52,25.74,25.53,109876.95,-0.21,-0.81,26.451999999999998,26.381999999999998,25.098000000000003,145619.77,207991.18,191562.46,2.75,26.090000000000014,26.763999999999974,26.63166666666666,26.250327447504677,26.983040487854485,26.749698345652245
2017-09-18,26.66,26.66,25.95,25.53,157942.91,-0.94,-3.5,26.796,26.203000000000003,25.029,183829.29,210902.21,209190.26,3.95,26.298000000000012,26.57199999999998,26.67866666666666,26.15021829833645,26.88465324966109,26.722690146692717
2017-09-15,26.58,27.76,26.89,26.33,168521.77,0.16,0.6,27.024,25.984,24.866999999999997,203850.1,219508.4,205704.82,4.22,26.44000000000001,26.49999999999998,26.743499999999994,26.396812198890967,26.885162475357475,26.72833513308184
2017-09-14,26.7,27.1,26.73,26.42,115186.16,-0.22,-0.82,27.031999999999996,25.799,24.642,238433.87,220087.33,204899.57,2.88,26.24000000000001,26.47849999999998,26.797833333333326,26.507874799260644,26.87038479799971,26.728391251742003
2017-09-13,27.2,27.85,26.95,26.66,176571.05,-0.51,-1.86,26.8,25.688000000000002,24.4,273330.25,234509.37,202029.43,4.42,26.45200000000001,26.541499999999978,26.850166666666663,26.65524986617376,26.877967336883046,26.735854278441586
2017-09-12,27.18,28.55,27.46,26.31,300924.56,0.37,1.37,26.311999999999998,25.408,24.147,270362.6,236503.24,196693.28,7.53,26.79600000000001,26.642999999999983,26.908166666666663,26.92349991078251,26.933399936442825,26.760219358471108
2017-09-11,26.9,27.55,27.09,26.56,258046.98,0.16,0.59,25.61,24.968000000000004,23.846,237975.12,215506.0,183694.65,6.46,27.02400000000001,26.737999999999982,26.980499999999996,26.978999940521675,26.94831445152478,26.771305841576606
2017-09-08,25.5,27.47,26.93,25.32,341440.59,1.36,5.32,24.944000000000003,24.609,23.566,235166.7,201615.98,172957.06,8.55,27.032000000000018,26.766999999999978,27.0525,26.962666627014453,26.94657019441682,26.77663635316058
2017-09-07,24.41,26.9,25.57,24.2,289668.06,1.06,4.33,24.566,24.253,23.281,201740.8,180431.62,160218.55,7.25,26.80000000000002,26.73249999999998,27.107666666666663,26.498444418009637,26.81546666423112,26.736138147923516
2017-09-06,23.51,24.88,24.51,23.38,161732.8,0.56,2.34,24.576,23.958000000000002,23.105,195688.49,164855.13,150908.43,4.05,26.31200000000002,26.642499999999984,27.1485,25.835629612006425,26.595895975571594,26.66148044922109
2017-09-05,23.76,24.32,23.95,23.31,138987.19,0.19,0.8,24.504,23.814,22.95,202643.87,175133.74,145571.54,3.48,25.610000000000014,26.483999999999988,27.185999999999996,25.207086408004283,26.343903354334195,26.570614038511728
2017-09-04,24.45,24.45,23.76,23.3,244004.84,-1.28,-5.11,24.326,23.854,22.835,193036.87,207478.31,141090.53,6.11,24.94400000000001,26.304499999999983,27.199999999999996,24.724724272002856,26.097815086653604,26.47649371233033
2017-09-01,25.33,25.5,25.04,24.78,174311.09,-0.58,-2.26,24.274,23.749000000000002,22.732,168065.26,191901.23,130989.34,4.36,24.56600000000001,26.166999999999984,27.21433333333333,24.829816181335236,25.99706996524404,26.42842286333194
